,ID,Units,Course,Prereqs,Semester
0,1.00,12,1,GIR:CAL1,['Spring']
1,1.001,12,1,GIR:CAL1,['Spring']
2,1.004,12,1,,['Spring']
3,1.006,12,1,,['Spring']
4,1.013,6,1,Permission of instructor,"['Fall', 'Spring']"
5,1.015,12,1,"2.003, 2.016, and 2.678; [2.671]",['Spring']
6,1.016,9,1,,['Spring']
7,1.020,12,1,"GIR:PHY1, 18.03, and (1.00 or 1.000)",['Spring']
8,1.021,12,1,"18.03, 3.016B, or permission of instructor",['Spring']
9,1.024,6,1,(1.000 and 1.010) or permission of instructor; [6.402],['Spring']
10,1.035,12,1,1.050 or permission of instructor,['Spring']
11,1.036,12,1,1.035 and 1.050,['Spring']
12,1.037,12,1,,['Spring']
13,1.053,12,1,GIR:PHY2; [2.087 or 18.03],"['Fall', 'Spring']"
14,1.056,12,1,GIR:CAL2,['Spring']
15,1.060,12,1,,['Spring']
16,1.060A,6,1,[18.03]; or permission of instructor,['Spring']
17,1.062,12,1,GIR:PHY2 and (18.03 or 18.032),['Spring']
18,1.071,12,1,18.03,['Spring']
19,1.072,12,1,1.061,['Spring']
20,1.075,12,1,1.070B or permission of instructor,['Spring']
21,1.080,12,1,GIR:CHEM,['Spring']
22,1.081,12,1,"GIR:BIOL, GIR:CAL2, and GIR:CHEM",['Spring']
23,1.082,6,1,,"['Fall', 'Spring']"
24,1.088,12,1,GIR:BIOL and (1.000 or 6.0002),['Spring']
25,1.106,6,1,[1.061A],['Spring']
26,1.107,6,1,[1.080],['Spring']
27,1.138,12,1,2.003 and 18.075,['Spring']
28,1.142,12,1,18.06 or permission of instructor,['Spring']
29,1.147,12,1,,['Spring']
30,1.202,12,1,1.201 or permission of instructor,['Spring']
31,1.203,12,1,6.041B or 18.600,['Spring']
32,1.224,6,1,(6.041B and 18.06) or permission of instructor; [6.482],['Spring']
33,1.234,12,1,16.71,['Spring']
34,1.251,12,1,Permission of instructor,['Spring']
35,1.261,9,1,Permission of instructor,['Spring']
36,1.263,6,1,SCM.254 or permission of instructor,['Spring']
37,1.266,6,1,15.761 or SCM.260,['Spring']
38,1.267,12,1,,['Spring']
39,1.27,0,1,Permission of instructor,"['Fall', 'Summer', 'Spring']"
40,1.271,12,1,(6.436 and (6.251 or 6.251)) or permission of instructor,['Spring']
41,1.273,6,1,15.761 or SCM.260,['Spring']
42,1.274,6,1,"15.761, 15.778, or SCM.260",['Spring']
43,1.275,6,1,Permission of instructor,['Spring']
44,1.351,12,1,1.361,['Spring']
45,1.381,12,1,1.361 and 1.38,['Spring']
46,1.39,0,1,Permission of instructor,"['Fall', 'Summer', 'Spring']"
47,1.472,6,1,Permission of instructor,['Spring']
48,1.535,12,1,1.050 or permission of instructor,['Spring']
49,1.563,12,1,,['Spring']
50,1.589,0,1,Permission of instructor,"['Fall', 'Summer', 'Spring']"
51,1.66,0,1,Permission of instructor,"['Fall', 'Summer', 'Spring']"
52,1.692,12,1,2.20 and 18.085,['Spring']
53,1.699,0,1,Permission of instructor,"['Fall', 'Summer', 'Spring']"
54,1.713,6,1,Permission of instructor,['Spring']
55,1.72,12,1,1.061,['Spring']
56,1.731,12,1,1.070B or permission of instructor,['Spring']
57,1.801,12,1,,['Spring']
58,1.811,12,1,,['Spring']
59,1.837,12,1,,['Spring']
60,1.873,12,1,GIR:CAL2,['Spring']
61,1.881,12,1,GIR:BIOL and (1.000 or 6.0002),['Spring']
62,1.899,1,1,Permission of instructor,['Spring']
63,1.968,0,1,Permission of instructor,"['Fall', 'IAP', 'Summer', 'Spring']"
64,1.982,0,1,,"['Fall', 'Summer', 'Spring']"
65,1.984,3,1,Permission of instructor,"['Fall', 'Spring']"
66,1.997,0,1,,"['Fall', 'IAP', 'Summer', 'Spring']"
67,1.998,0,1,,"['Fall', 'IAP', 'Summer', 'Spring']"
68,1.999,0,1,,"['Fall', 'IAP', 'Summer', 'Spring']"
69,1.EPE,1,1,2.EPW or permission of instructor,"['Fall', 'Spring']"
70,1.S02,12,1,,['Spring']
71,1.S978,0,1,Permission of instructor,"['Fall', 'Spring']"
72,1.S980,0,1,Permission of instructor,['Spring']
73,1.S981,0,1,Permission of instructor,['Spring']
74,1.S991,0,1,Permission of instructor,"['Fall', 'IAP', 'Spring']"
75,1.S993,0,1,Permission of instructor,['Spring']
76,1.THG,0,1,Permission of instructor,"['Fall', 'IAP', 'Summer', 'Spring']"
77,1.THU,0,1,Permission of instructor,"['Fall', 'IAP', 'Summer', 'Spring']"
78,1.UR,0,1,,"['Fall', 'IAP', 'Summer', 'Spring']"
79,1.URG,0,1,,"['Fall', 'IAP', 'Summer', 'Spring']"
80,10.00,6,10,GIR:CHEM and GIR:PHY1,['Spring']
81,10.000,2,10,,"['Fall', 'Spring']"
82,10.01,6,10,,"['Fall', 'Spring']"
83,10.03,3,10,,['Spring']
84,10.10,12,10,GIR:CHEM and GIR:PHY1; [18.03],"['Fall', 'Spring']"
85,10.213,12,10,5.601 and 10.10,['Spring']
86,10.26,15,10,"(10.302 and (2.671, 3.014, 5.310, 7.003, 12.335, 20.109, (1.106 and 1.107), or (5.351, 5.352, and 5.353))) or permission of instructor",['Spring']
87,10.27,15,10,"(10.302 and (2.671, 3.014, 5.310, 7.003, 12.335, 20.109, (1.106 and 1.107), or (5.351, 5.352, and 5.353))) or permission of instructor",['Spring']
88,10.28B,11,10,10.28A,['Spring']
89,10.29,15,10,"(10.302 and (2.671, 3.014, 5.310, 7.003, 12.335, 20.109, (1.106 and 1.107), or (5.351, 5.352, and 5.353))) or permission of instructor",['Spring']
90,10.301,12,10,10.10 and 18.03,['Spring']
91,10.32,9,10,10.213 and 10.302,['Spring']
92,10.333,12,10,"18.03, 3.016B, or permission of instructor",['Spring']
93,10.37,12,10,5.601 and 10.301,['Spring']
94,10.380,3,10,,['Spring']
95,10.382,3,10,,['Spring']
96,10.390,12,10,"2.006, (2.051 and 2.06), or permission of instructor",['Spring']
97,10.392,12,10,"2.006, (2.051 and 2.06), or permission of instructor",['Spring']
98,10.402,6,10,GIR:CAL2 and 6.0001; [6.402],['Spring']
99,10.407,6,10,,['Spring']
100,10.426,12,10,10.302 or permission of instructor,['Spring']
101,10.450,9,10,10.302 and 18.03,['Spring']
102,10.490,9,10,10.37,"['Fall', 'Spring']"
103,10.494A,6,10,10.301 and permission of instructor,['Spring']
